voc_id,name,parent_id,level
L01,서비스 품질,,1.0
L02,해충 문제,,1.0
L03,제품,,1.0
L04,해약/환불,,1.0
L05,요금/계약 문제,,1.0
L06,운영 관리,,1.0
L07,시스템/전산 오류,,1.0
L08,배송문제,,1.0
L99,기타,,1.0
M01,담당자 불만,L01,2.0
M02,일정 불만,L01,2.0
M03,작업 품질,L01,2.0
M04,처리 지연,L01,2.0
M05,특수 이슈,L01,2.0
M06,기타,L01,2.0
M07,방문 요청,L02,2.0
M08,방제 효과 미흡/불만,L02,2.0
M09,추가 방문 요청,L02,2.0
M10,기타,L02,2.0
M11,FIC,L03,2.0
M12,공기청정/살균기,L03,2.0
M13,비데,L03,2.0
M14,에어제닉,L03,2.0
M15,에어커튼,L03,2.0
M16,에어퍼퓸,L03,2.0
M17,정수기,L03,2.0
M18,프레쉬제닉,L03,2.0
M19,핸드/새니제닉,L03,2.0
M20,핸드드라이어,L03,2.0
M21,확인불가,L03,2.0
M22,기타,L03,2.0
M23,계약 변경/취소 요청,L04,2.0
M24,해약 요청,L04,2.0
M25,해약 처리 오류,L04,2.0
M26,해약 후 처리 지연,L04,2.0
M27,환불 요청,L04,2.0
M28,기타,L04,2.0
M29,계약 조건,L05,2.0
M30,계약/주문 처리 문제,L05,2.0
M31,고객정보 관리,L05,2.0
M32,납부/청구 문제,L05,2.0
M33,미수금,L05,2.0
M34,비용 산정/변동,L05,2.0
M35,기타,L05,2.0
M36,계약/매출 처리,L06,2.0
M37,기기/자산 관리,L06,2.0
M38,멤버스 운영,L06,2.0
M39,서류/자료 전달,L06,2.0
M40,업무 일정 관리,L06,2.0
M41,기타,L06,2.0
M42,서비스 리포트,L07,2.0
M43,전자서명/계약 시스템,L07,2.0
M44,기타,L07,2.0
M45,반품/교환 요청,L08,2.0
M46,배송 누락,L08,2.0
M47,배송 지연,L08,2.0
M48,오배송,L08,2.0
M49,제품 불량,L08,2.0
M50,기타,L08,2.0
M99,기타,L99,2.0
S0001,고객 응대 미흡,M01,3.0
S0002,담당자 변경 요청,M01,3.0
S0003,"차량 클레임 (주차, 소음, 사고 등)",M01,3.0
S0004,기타,M01,3.0
S0005,관리 일정 누락/미연락,M02,3.0
S0006,긴급 진단 대응 지연,M02,3.0
S0007,무료 방문 대응 지연,M02,3.0
S0008,방문 상담 지연,M02,3.0
S0009,방문 주기 불만,M02,3.0
S0010,사전 연락 미흡,M02,3.0
S0011,약속시간 미준수,M02,3.0
S0012,기타,M02,3.0
S0013,가격 대비 서비스 품질 불만,M03,3.0
S0014,고객 서명 절차 미흡,M03,3.0
S0015,뒷정리 미이행,M03,3.0
S0016,부품/자재 누락,M03,3.0
S0017,서비스 내용 불일치,M03,3.0
S0018,서비스 진행 시간 부족,M03,3.0
S0019,서비스 품질 미흡,M03,3.0
S0020,설치 불만,M03,3.0
S0021,제품 품질 미흡,M03,3.0
S0022,제품/서비스 설명 부족,M03,3.0
S0023,기타,M03,3.0
S0024,담당자 연락 지연,M04,3.0
S0025,서비스 지연,M04,3.0
S0026,설치/AS/회수 지연,M04,3.0
S0027,기타,M04,3.0
S0028,사고 접수,M05,3.0
S0029,손해배상 요청,M05,3.0
S0030,기타,M05,3.0
S0031,기타,M06,3.0
S0032,개미,M07,3.0
S0033,바퀴,M07,3.0
S0034,비래해충,M07,3.0
S0035,빈대,M07,3.0
S0036,쥐,M07,3.0
S0037,그 외 해충,M07,3.0
S0038,기타,M07,3.0
S0039,개미,M08,3.0
S0040,바퀴,M08,3.0
S0041,비래해충,M08,3.0
S0042,빈대,M08,3.0
S0043,쥐,M08,3.0
S0044,그 외 해충,M08,3.0
S0045,기타,M08,3.0
S0046,개미,M09,3.0
S0047,바퀴,M09,3.0
S0048,비래해충,M09,3.0
S0049,빈대,M09,3.0
S0050,쥐,M09,3.0
S0051,그 외 해충,M09,3.0
S0052,기타,M09,3.0
S0053,기타,M10,3.0
S0054,교체요청,M11,3.0
S0055,낙하,M11,3.0
S0056,노후,M11,3.0
S0057,램프 이상,M11,3.0
S0058,소음,M11,3.0
S0059,안정기,M11,3.0
S0060,에러코드,M11,3.0
S0061,"외관 이상_파손,변형, 긁힘",M11,3.0
S0062,이전 설치 요청,M11,3.0
S0063,재설치 요청,M11,3.0
S0064,전원 안들어옴,M11,3.0
S0065,점검요청,M11,3.0
S0066,점등안됨,M11,3.0
S0067,제품문의,M11,3.0
S0068,카트리지 점검요청,M11,3.0
S0069,기타,M11,3.0
S0070,IoT 연결안됨,M12,3.0
S0071,고정안됨,M12,3.0
S0072,낙하,M12,3.0
S0073,냄새,M12,3.0
S0074,램프 이상,M12,3.0
S0075,모터 불량,M12,3.0
S0076,분사안됨,M12,3.0
S0077,센서 불량,M12,3.0
S0078,소음,M12,3.0
S0079,에러코드,M12,3.0
S0080,"외관 이상_파손,변형, 긁힘",M12,3.0
S0081,이전 설치 요청,M12,3.0
S0082,작동안됨,M12,3.0
S0083,재설치 요청,M12,3.0
S0084,점검요청,M12,3.0
S0085,제품문의,M12,3.0
S0086,팬 작동안됨,M12,3.0
S0087,기타,M12,3.0
S0088,건조안됨,M13,3.0
S0089,고정안됨,M13,3.0
S0090,노즐 이상,M13,3.0
S0091,누수,M13,3.0
S0092,물안나옴,M13,3.0
S0093,버튼안됨,M13,3.0
S0094,변좌센서 오작동,M13,3.0
S0095,분사안됨,M13,3.0
S0096,소음,M13,3.0
S0097,수압,M13,3.0
S0098,"외관 이상_파손,변형, 긁힘",M13,3.0
S0099,이전 설치 요청,M13,3.0
S0100,작동안됨,M13,3.0
S0101,재설치 요청,M13,3.0
S0102,점검요청,M13,3.0
S0103,기타,M13,3.0
S0104,고정안됨,M14,3.0
S0105,교체요청,M14,3.0
S0106,낙하,M14,3.0
S0107,냄새,M14,3.0
S0108,노후,M14,3.0
S0109,누수/누액,M14,3.0
S0110,모듈 고장,M14,3.0
S0111,모듈 불량,M14,3.0
S0112,분사불량,M14,3.0
S0113,분사안됨,M14,3.0
S0114,센싱안됨,M14,3.0
S0115,소음,M14,3.0
S0116,솔밸브 불량,M14,3.0
S0117,"외관 이상_파손,변형, 긁힘",M14,3.0
S0118,이전 설치 요청,M14,3.0
S0119,작동안됨,M14,3.0
S0120,장비 교체 요청,M14,3.0
S0121,재설치 요청,M14,3.0
S0122,점검요청,M14,3.0
S0123,체결불량,M14,3.0
S0124,케미컬 미소진,M14,3.0
S0125,케미컬 소진,M14,3.0
S0126,향 강함,M14,3.0
S0127,향 교체,M14,3.0
S0128,향 약함,M14,3.0
S0129,기타,M14,3.0
S0130,낙하,M15,3.0
S0131,센서 불량,M15,3.0
S0132,소음,M15,3.0
S0133,재설치 요청,M15,3.0
S0134,전원 안들어옴,M15,3.0
S0135,점검요청,M15,3.0
S0136,제품문의,M15,3.0
S0137,기타,M15,3.0
S0138,고정안됨,M16,3.0
S0139,낙하,M16,3.0
S0140,냄새,M16,3.0
S0141,누수/누액,M16,3.0
S0142,분사안됨,M16,3.0
S0143,소음,M16,3.0
S0144,솔밸브 불량,M16,3.0
S0145,"외관 이상_파손,변형, 긁힘",M16,3.0
S0146,재설치 요청,M16,3.0
S0147,전원 안들어옴,M16,3.0
S0148,점검요청,M16,3.0
S0149,제품문의,M16,3.0
S0150,체결불량,M16,3.0
S0151,케미컬 소진,M16,3.0
S0152,향 강함,M16,3.0
S0153,향 교체,M16,3.0
S0154,향 약함,M16,3.0
S0155,기타,M16,3.0
S0156,냉수 온도 이상,M17,3.0
S0157,냉수 출수안됨,M17,3.0
S0158,누수,M17,3.0
S0159,물줄기 약함,M17,3.0
S0160,배수문제,M17,3.0
S0161,소음,M17,3.0
S0162,얼음 안나옴,M17,3.0
S0163,에러코드,M17,3.0
S0164,온수 온도 이상,M17,3.0
S0165,온수 출수안됨,M17,3.0
S0166,"외관 이상_파손,변형, 긁힘",M17,3.0
S0167,이전 설치 요청,M17,3.0
S0168,작동안됨,M17,3.0
S0169,재설치 요청,M17,3.0
S0170,점검요청,M17,3.0
S0171,제품문의,M17,3.0
S0172,출수 동작안됨,M17,3.0
S0173,품질 불만 (맛/냄새/이물질),M17,3.0
S0174,기타,M17,3.0
S0175,고정안됨,M18,3.0
S0176,낙하,M18,3.0
S0177,냄새,M18,3.0
S0178,노후,M18,3.0
S0179,누수/누액,M18,3.0
S0180,모듈 불량,M18,3.0
S0181,물안나옴,M18,3.0
S0182,분사안됨,M18,3.0
S0183,센싱안됨,M18,3.0
S0184,소음,M18,3.0
S0185,솔밸브 불량,M18,3.0
S0186,"외관 이상_파손,변형, 긁힘",M18,3.0
S0187,이전 설치 요청,M18,3.0
S0188,작동안됨,M18,3.0
S0189,재설치 요청,M18,3.0
S0190,전원 안들어옴,M18,3.0
S0191,점검요청,M18,3.0
S0192,체결불량,M18,3.0
S0193,케미컬 미소진,M18,3.0
S0194,케미컬 소진,M18,3.0
S0195,기타,M18,3.0
S0196,고정안됨,M19,3.0
S0197,교체요청,M19,3.0
S0198,낙하,M19,3.0
S0199,노후,M19,3.0
S0200,누수/누액,M19,3.0
S0201,부품 교체 요청,M19,3.0
S0202,분사안됨,M19,3.0
S0203,센싱안됨,M19,3.0
S0204,소음,M19,3.0
S0205,"외관 이상_파손,변형, 긁힘",M19,3.0
S0206,이전 설치 요청,M19,3.0
S0207,작동안됨,M19,3.0
S0208,재설치 요청,M19,3.0
S0209,전원 안들어옴,M19,3.0
S0210,점검요청,M19,3.0
S0211,케미컬 소진,M19,3.0
S0212,기타,M19,3.0
S0213,고정안됨,M20,3.0
S0214,냄새,M20,3.0
S0215,센서 불량,M20,3.0
S0216,"외관 이상_파손,변형, 긁힘",M20,3.0
S0217,재설치 요청,M20,3.0
S0218,전원 안들어옴,M20,3.0
S0219,점검요청,M20,3.0
S0220,기타,M20,3.0
S0221,IoT 연결안됨,M21,3.0
S0222,건조안됨,M21,3.0
S0223,고정안됨,M21,3.0
S0224,교체요청,M21,3.0
S0225,낙하,M21,3.0
S0226,냄새,M21,3.0
S0227,냉수 온도 이상,M21,3.0
S0228,냉수 출수안됨,M21,3.0
S0229,노즐 이상,M21,3.0
S0230,노후,M21,3.0
S0231,누수,M21,3.0
S0232,누수/누액,M21,3.0
S0233,램프 이상,M21,3.0
S0234,모듈 고장,M21,3.0
S0235,모듈 불량,M21,3.0
S0236,모터 불량,M21,3.0
S0237,물안나옴,M21,3.0
S0238,물줄기 약함,M21,3.0
S0239,배수문제,M21,3.0
S0240,버튼안됨,M21,3.0
S0241,변좌센서 오작동,M21,3.0
S0242,부품 교체 요청,M21,3.0
S0243,분사불량,M21,3.0
S0244,분사안됨,M21,3.0
S0245,센서 불량,M21,3.0
S0246,센싱안됨,M21,3.0
S0247,소음,M21,3.0
S0248,솔밸브 불량,M21,3.0
S0249,수압,M21,3.0
S0250,안정기,M21,3.0
S0251,얼음 안나옴,M21,3.0
S0252,에러코드,M21,3.0
S0253,온수 출수안됨,M21,3.0
S0254,"외관 이상_파손,변형, 긁힘",M21,3.0
S0255,이전 설치 요청,M21,3.0
S0256,작동안됨,M21,3.0
S0257,장비 교체 요청,M21,3.0
S0258,재설치 요청,M21,3.0
S0259,전원 안들어옴,M21,3.0
S0260,점검요청,M21,3.0
S0261,점등안됨,M21,3.0
S0262,제품문의,M21,3.0
S0263,체결불량,M21,3.0
S0264,출수 동작안됨,M21,3.0
S0265,카트리지 점검요청,M21,3.0
S0266,케미컬 미소진,M21,3.0
S0267,케미컬 소진,M21,3.0
S0268,팬 작동안됨,M21,3.0
S0269,품질 불만 (맛/냄새/이물질),M21,3.0
S0270,향 강함,M21,3.0
S0271,향 교체,M21,3.0
S0272,향 약함,M21,3.0
S0273,기타,M21,3.0
S0274,기타,M22,3.0
S0275,고객 요청 해약,M23,3.0
S0276,설치 전 취소 요청,M23,3.0
S0277,청약철회,M23,3.0
S0278,기타,M23,3.0
S0279,고객 요청 해약,M24,3.0
S0280,기기변경,M24,3.0
S0281,당월 미작업,M24,3.0
S0282,명의변경,M24,3.0
S0283,비용 부담으로 인한 해약,M24,3.0
S0284,서비스 불만족으로 인한 해약,M24,3.0
S0285,유지 필요성 없음,M24,3.0
S0286,의무사용기간만료,M24,3.0
S0287,제품 고장으로 인한 해약,M24,3.0
S0288,제품 불만 해약 요청,M24,3.0
S0289,청약철회,M24,3.0
S0290,타사 서비스 이용으로 인한 해약,M24,3.0
S0291,타사 제품 사용으로 인한 해약,M24,3.0
S0292,내부 기준에 따른 해약,M24,3.0
S0293,사망/명의변경/이사 등으로 인한 해약,M24,3.0
S0294,재렌탈,M24,3.0
S0295,폐업,M24,3.0
S0296,해충 문제 미해결,M24,3.0
S0297,해충 문제 해결,M24,3.0
S0298,허위계약/명의도용,M24,3.0
S0299,기타,M24,3.0
S0300,안내 오류,M25,3.0
S0301,기타,M25,3.0
S0302,제품 회수 누락/지연,M26,3.0
S0303,후속 처리 지연,M26,3.0
S0304,기타,M26,3.0
S0305,서비스 미제공 환불 요청,M27,3.0
S0306,서비스 불만족으로 인한 해약,M27,3.0
S0307,이중결제,M27,3.0
S0308,기타,M27,3.0
S0309,기타,M28,3.0
S0310,계약 문의/변경 요청,M29,3.0
S0311,계약 조건 문의,M29,3.0
S0312,계약 조건 변경,M29,3.0
S0313,계약 진행/접수 확인,M29,3.0
S0314,단순 문의,M29,3.0
S0315,명의 변경 문제,M29,3.0
S0316,명의/계약 정보 변경,M29,3.0
S0317,명의변경,M29,3.0
S0318,비용 부담,M29,3.0
S0319,안내 비용 불일치,M29,3.0
S0320,약정/위약금 고지 미흡,M29,3.0
S0321,위약금 불만,M29,3.0
S0322,이전 설치 요청,M29,3.0
S0323,제품 이관 요청,M29,3.0
S0324,프로모션/혜택 불만,M29,3.0
S0325,해약 절차 불만,M29,3.0
S0326,기타,M29,3.0
S0327,제품 이관 요청,M30,3.0
S0328,주문/접수 오류,M30,3.0
S0329,기타,M30,3.0
S0330,개인정보 동의 거부,M31,3.0
S0331,고객정보 현행화 미이행,M31,3.0
S0332,정보 변경,M31,3.0
S0333,기타,M31,3.0
S0334,계산서 발행 조건 변경 요청,M32,3.0
S0335,고객변심 취소 처리,M32,3.0
S0336,미납 문자 오발송,M32,3.0
S0337,비용 부담 유예 요청,M32,3.0
S0338,기타,M32,3.0
S0339,미수금 발생 문의,M33,3.0
S0340,미수금 청구 불만,M33,3.0
S0341,기타,M33,3.0
S0342,비용 인상,M34,3.0
S0343,서비스 미진행 비용 청구,M34,3.0
S0344,청구 금액 불만,M34,3.0
S0345,기타,M34,3.0
S0346,기타,M35,3.0
S0347,고객변심 취소 처리,M36,3.0
S0348,비정상 매출 조정,M36,3.0
S0349,기타,M36,3.0
S0350,사전 고지 안내,M37,3.0
S0351,제품 분실/회수 접수,M37,3.0
S0352,제품 회수 지연,M37,3.0
S0353,기타,M37,3.0
S0354,멤버스 표시/마크 문의,M38,3.0
S0355,기타,M38,3.0
S0356,복수 서류,M39,3.0
S0357,서류 발급 불만,M39,3.0
S0358,서류 발송 지연,M39,3.0
S0359,소독 증명서,M39,3.0
S0360,기타,M39,3.0
S0361,고객사 일정 준수 요청,M40,3.0
